Date,Open,High,Low,Close,Volume,moving_average
09/13/2023,30.86,31.39,30.8,31.31,"50,836",
09/14/2023,31.36,32.0,31.36,31.95,"43,464",
09/15/2023,31.96,32.09,31.5,31.57,"151,189",
09/18/2023,31.62,31.68,30.8,30.9,"88,300",
09/19/2023,30.88,31.44,30.81,31.09,"101,968",31.336000000000002
09/20/2023,31.14,31.71,30.73,31.35,"68,194",31.392000000000003
09/21/2023,31.13,31.42,30.75,30.85,"115,704",31.345999999999997
09/22/2023,30.83,30.86,30.09,30.13,"102,583",31.119999999999997
09/25/2023,30.0,30.35,29.44,29.54,"100,818",30.796
09/26/2023,29.49,30.0,29.12,29.18,"83,118",30.518
09/27/2023,29.46,29.89,28.7,29.19,"94,480",30.182
09/28/2023,28.97,29.14,28.64,28.71,"87,329",29.75
09/29/2023,28.86,28.86,28.16,28.25,"102,849",29.356
10/02/2023,28.12,28.85,27.77,27.83,"73,051",28.98
10/03/2023,27.59,27.59,23.8,23.94,"386,004",28.6
10/04/2023,24.47,25.26,24.32,25.2,"139,491",27.601999999999997
10/05/2023,25.13,25.44,24.63,24.74,"119,476",26.833999999999996
10/06/2023,24.7,25.68,24.38,25.36,"115,469",26.002
10/09/2023,25.19,25.62,25.19,25.41,"66,030",25.416
10/10/2023,25.61,26.1,25.03,25.16,"85,928",25.02
10/11/2023,25.32,26.02,24.96,25.83,"106,946",25.19
10/12/2023,25.77,25.77,24.33,24.85,"85,179",25.318
10/13/2023,25.0,25.04,24.17,24.37,"118,086",25.378
